event_date,dau
2014-08-10,32
2014-08-11,65
2014-08-12,78
2014-08-13,43
2014-08-14,43
2014-08-15,27
2014-08-16,19
2014-08-17,39
2014-08-18,62
2014-08-19,80
2014-08-20,49
2014-08-21,61
2014-08-22,53
2014-08-23,32
2014-08-24,30
2014-08-25,50
2014-08-26,67
2014-08-27,66
2014-08-28,66
2014-08-29,64
2014-08-30,30
2014-08-31,37
2014-09-01,63
2014-09-02,54
2014-09-03,51
2014-09-04,50
2014-09-05,34
2014-09-06,19
2014-09-07,19
2014-09-08,55
2014-09-09,55
2014-09-10,47
2014-09-11,55
2014-09-12,43
2014-09-13,32
2014-09-14,33
2014-09-15,58
2014-09-16,52
2014-09-17,40
2014-09-18,37
2014-09-19,41
2014-09-20,22
2014-09-21,30
2014-09-22,39
2014-09-23,47
2014-09-24,49
2014-09-25,45
2014-09-26,40
2014-09-27,16
2014-09-28,28
2014-09-29,46
2014-09-30,61
2014-10-01,55
2014-10-02,48
2014-10-03,43
2014-10-04,21
2014-10-05,26
2014-10-06,46
2014-10-07,33
2014-10-08,38
2014-10-09,53
2014-10-10,40
2014-10-11,25
2014-10-12,24
2014-10-13,46
2014-10-14,48
2014-10-15,55
2014-10-16,46
2014-10-17,53
2014-10-18,37
2014-10-19,29
2014-10-20,47
2014-10-21,55
2014-10-22,44
2014-10-23,39
2014-10-24,46
2014-10-25,30
2014-10-26,31
2014-10-27,39
2014-10-28,46
2014-10-29,57
2014-10-30,57
2014-10-31,51
2014-11-01,33
2014-11-02,26
2014-11-03,44
2014-11-04,61
2014-11-05,65
2014-11-06,51
2014-11-07,40
2014-11-08,21
2014-11-09,29
2014-11-10,61
2014-11-11,38
2014-11-12,55
2014-11-13,45
2014-11-14,32
2014-11-15,25
2014-11-16,22
2014-11-17,46
2014-11-18,43
2014-11-19,36
2014-11-20,38
2014-11-21,30
2014-11-22,36
2014-11-23,37
2014-11-24,61
2014-11-25,45
2014-11-26,59
2014-11-27,69
2014-11-28,42
2014-11-29,38
2014-11-30,39
2014-12-01,52
2014-12-02,58
2014-12-03,63
2014-12-04,55
2014-12-05,39
2014-12-06,37
2014-12-07,44
2014-12-08,45
2014-12-09,53
2014-12-10,60
2014-12-11,42
2014-12-12,31
2014-12-13,23
2014-12-14,44
2014-12-15,75
2014-12-16,72
2014-12-17,67
2014-12-18,65
2014-12-19,48
2014-12-20,28
2014-12-21,32
2014-12-22,67
2014-12-23,52
2014-12-24,33
2014-12-25,36
2014-12-26,47
2014-12-27,36
2014-12-28,36
2014-12-29,45
2014-12-30,45
2014-12-31,31
2015-01-01,35
2015-01-02,56
2015-01-03,38
2015-01-04,51
2015-01-05,53
2015-01-06,47
2015-01-07,55
2015-01-08,61
2015-01-09,49
